N,completed_trials,mean_std_dev,mean_runtime,min_runtime,max_runtime
50,10,1.4974232732405526,4.877827312599948,3.610553374999654,6.300208833999932
100,10,1.032882303055102,16.146312395799942,13.02354966600069,18.4535797919998
150,10,0.8030261255969464,27.405416137599786,24.37728849999985,31.252602417000162
200,10,0.7636114785741517,38.445156799699724,35.826376666000215,43.430133124998974
250,10,0.6930705117869899,46.52047423330005,39.87267420799981,50.20264858399969
300,10,0.7188415169192945,51.180440716599875,46.50818574999903,57.78033395800048
350,10,0.6781248591936988,56.3419077458002,52.88023837500077,61.63411199999973
400,10,0.5721436683613146,61.8747566580998,59.90896808300022,63.81793466700037
450,10,0.5056828858540172,76.68984843740036,69.9977940839999,80.79360329200063
500,10,0.525396884501791,76.54931952929982,58.58843375000106,87.2029480000001
