Generation,Global_Best_Cost,Population_Mean_Cost,Active_Mutation_Rate,Stagnation_Counter
2,14387.3973,14895.2163,0.775,1
3,14387.3973,14847.7457,0.7506,2
4,14387.3973,14831.9927,0.7274,3
5,14387.3973,14891.5739,0.7055,4
6,14387.3973,14834.1961,0.6848,5
7,14387.3973,14814.0735,0.6653,6
8,14387.3973,14774.2042,0.647,7
9,14387.3973,14750.2104,0.6299,8
10,14387.3973,14711.4361,0.6141,9
11,14387.3973,14699.7424,0.5995,10
12,14387.3973,14673.5127,0.5861,11
13,14387.3973,14704.176,0.5739,12
14,14387.3973,14689.9224,0.563,13
15,14387.3973,14672.995,0.5533,14
16,14387.3973,14596.5312,0.5448,15
17,14387.3973,14519.8732,0.5375,16
18,14387.3973,14546.203,0.5314,17
19,14387.3973,14520.602,0.5266,18
20,14387.3973,14508.7214,0.523,19
21,14387.3973,14532.3756,0.5206,20
22,14387.3973,14493.5333,0.5194,21
23,14387.3973,14508.2673,0.5195,22
24,14387.3973,14508.2673,0.5208,23
25,14375.2662,14485.042,0.5233,0
26,14375.2662,14514.8727,0.175,1
27,14375.2662,14490.2679,0.1506,2
28,14375.2662,14490.2679,0.1274,3
29,14375.2662,14490.2679,0.1055,4
30,14375.2662,14487.9699,0.0848,5
31,14375.2662,14484.5229,0.0653,6
