route_count,total_fleet,sample_size,mean_allocation_cv,max_allocation_cv,mean_demand_cv,max_demand_cv,mean_no_route_od_rate,max_no_route_od_rate,mean_route_hit_rate,stable_by_cv,usable_by_route_hit_rate,mean_elapsed_sec,total_elapsed_sec
4,40,50,0.11135808,0.14207232,0.23462595,0.32923128,0.06571429,0.12000000,0.93428571,True,True,4.400941,30.806584
4,40,100,0.08087562,0.13606027,0.17574588,0.24513211,0.05428571,0.07000000,0.94571429,True,True,9.390381,65.732668
4,40,150,0.05208689,0.08782653,0.10262470,0.14360238,0.06571429,0.08666667,0.93428571,True,True,14.424738,100.973165
4,40,200,0.06627306,0.10206207,0.13265621,0.19222136,0.05857143,0.08500000,0.94142857,True,True,19.299122,135.093851
4,40,250,0.05993484,0.08782653,0.11856733,0.17218796,0.06400000,0.08800000,0.93600000,True,True,25.540525,178.783677
4,40,300,0.05352501,0.07216878,0.09166587,0.13496103,0.06714286,0.09000000,0.93285714,True,True,26.953977,188.677836
4,40,350,0.03879598,0.05773503,0.10995880,0.13417638,0.07469388,0.09428571,0.92530612,True,True,31.467670,220.273692
4,40,400,0.02219452,0.04554200,0.08886785,0.10375034,0.06892857,0.08250000,0.93107143,True,True,36.508604,255.560225
4,40,450,0.03610480,0.05056294,0.07740377,0.10170157,0.06666667,0.08000000,0.93333333,True,True,41.478726,290.351079
4,40,500,0.04237561,0.07216878,0.07289432,0.10744570,0.06714286,0.07600000,0.93285714,True,True,46.686841,326.807886
8,80,50,0.22611196,0.46107764,0.43278967,0.87502284,0.02000000,0.06000000,0.98000000,True,True,4.686502,32.805516
8,80,100,0.16160699,0.37416574,0.29399358,0.55022586,0.02714286,0.06000000,0.97285714,True,True,9.023388,63.163718
8,80,150,0.16762490,0.37983245,0.29459612,0.57880043,0.03142857,0.04000000,0.96857143,True,True,13.945352,97.617464
8,80,200,0.09942708,0.17211158,0.19860810,0.34739721,0.02785714,0.03500000,0.97214286,True,True,18.392249,128.745744
8,80,250,0.09150499,0.17009801,0.18344089,0.37128565,0.03200000,0.04400000,0.96800000,True,True,23.792822,166.549751
8,80,300,0.08801664,0.21717751,0.16726697,0.35805775,0.03285714,0.05333333,0.96714286,True,True,27.855699,194.989896
8,80,350,0.08708203,0.17638342,0.15158065,0.24305006,0.03142857,0.03714286,0.96857143,True,True,32.946342,230.624392
8,80,400,0.06864328,0.16656755,0.14766881,0.30533958,0.02464286,0.04000000,0.97535714,True,True,37.763648,264.345534
8,80,450,0.08158056,0.16572087,0.14715273,0.28185806,0.03587302,0.04888889,0.96412698,True,True,42.065959,294.461710
8,80,500,0.06572305,0.12239046,0.11980604,0.29576308,0.03057143,0.03800000,0.96942857,True,True,46.682776,326.779432
16,160,50,0.37027071,1.11467484,0.68303125,1.81416648,0.02000000,0.04000000,0.98000000,False,True,6.144005,43.008038
16,160,100,0.23947518,0.57712748,0.43646438,0.79360217,0.01428571,0.03000000,0.98571429,False,True,12.714931,89.004516
16,160,150,0.18634708,0.33071891,0.37613335,0.88038884,0.02190476,0.04000000,0.97809524,True,True,17.837246,124.860721
16,160,200,0.23463640,0.60177515,0.41160597,0.93202483,0.02142857,0.04500000,0.97857143,False,True,24.641009,172.487062
16,160,250,0.13442455,0.45004073,0.25388555,0.84806204,0.01885714,0.03600000,0.98114286,True,True,31.372591,219.608134
16,160,300,0.17358891,0.55738908,0.30469518,0.75352502,0.01761905,0.02666667,0.98238095,False,True,38.203886,267.427199
16,160,350,0.12578487,0.32203059,0.24967480,0.70831503,0.02040816,0.03142857,0.97959184,True,True,42.590167,298.131171
16,160,400,0.11930772,0.23570226,0.20968389,0.40444849,0.01535714,0.02500000,0.98464286,True,True,49.670075,347.690523
16,160,450,0.12737177,0.30267497,0.23733507,0.61053121,0.01619048,0.02000000,0.98380952,True,True,56.109731,392.768115
16,160,500,0.10398761,0.23716120,0.20223524,0.49603899,0.01685714,0.02400000,0.98314286,True,True,64.308104,450.156727
32,320,50,0.56927736,1.55632430,0.98747568,2.64575131,0.01714286,0.04000000,0.98285714,False,True,9.312430,65.187012
32,320,100,0.38601537,1.22111599,0.73453544,2.64575131,0.00571429,0.02000000,0.99428571,False,True,17.039858,119.279005
32,320,150,0.27462504,0.90819971,0.53628126,2.64575131,0.01047619,0.02000000,0.98952381,False,True,25.681205,179.768436
32,320,200,0.24233205,0.92893441,0.43356855,1.39906503,0.01000000,0.01500000,0.99000000,False,True,33.475298,234.327089
32,320,250,0.22816439,0.76691217,0.46084366,2.64575131,0.00628571,0.01200000,0.99371429,False,True,42.690412,298.832881
32,320,300,0.17208553,0.62048368,0.36271523,2.64575131,0.00857143,0.01666667,0.99142857,False,True,53.665647,375.659527
32,320,350,0.17666165,0.78333272,0.32769083,1.48470378,0.01142857,0.02571429,0.98857143,False,True,58.633480,410.434362
32,320,400,0.16146312,0.64549722,0.29361950,1.03748437,0.00964286,0.01500000,0.99035714,False,True,68.710839,480.975874
32,320,450,0.15857324,0.59625723,0.34978373,2.64575131,0.01015873,0.02222222,0.98984127,False,True,77.076479,539.535355
32,320,500,0.15707365,0.60883205,0.27047469,0.90152755,0.00742857,0.01200000,0.99257143,False,True,90.252505,631.767538
